subNb,blockNb,condition,trialNb,trialNbBl,PcommonT,commonT,PrewOr,goalTok,boxPartner,isPartnercorr,tokPartner,isTokGoal,choiceLR,choiceColor,RT,isChoiceCorr,token,outcome,isMiss,chPartnerLR,isOrRew,rewMag
12,5,3,89,9,0.6,1,0.6,1,2,0,2,0,0,1,647.31,1,1,52,0,1,1,52
12,5,3,90,10,0.6,0,0.2,2,1,0,2,1,0,0,426.255,1,2,45,0,0,0,45
12,5,3,91,11,0.6,1,0.2,2,1,0,1,0,0,1,650.195,0,1,0,0,1,0,51
12,5,3,92,12,0.6,0,0.2,2,1,0,2,1,0,0,477.54,1,2,47,0,1,0,47
12,5,3,93,13,0.6,1,0.2,2,1,0,1,0,1,1,418.41,0,1,0,0,0,0,47
12,5,3,94,14,0.6,1,0.2,2,1,0,1,0,0,0,351.37,1,2,49,0,0,0,49
12,5,3,95,15,0.6,1,0.2,2,2,1,2,1,1,1,766.045,0,1,46,0,1,1,46
12,5,3,96,16,0.6,0,0.2,2,2,1,1,0,0,1,401.075,0,1,53,0,1,1,53
12,5,3,97,17,0.6,0,0.2,2,2,1,1,0,1,1,450.975,0,1,0,0,1,0,55
12,5,3,98,18,0.6,1,0.2,2,2,1,2,1,0,1,496.53,0,1,0,0,1,0,48
12,5,3,99,19,0.6,1,0.2,2,2,1,2,1,0,0,349.955,1,2,49,0,1,0,49
12,5,3,100,20,0.6,0,0.2,2,2,1,1,0,1,0,618.865,1,2,48,0,0,0,48
12,6,4,101,1,0.6,0,0.4,2,1,0,2,1,1,1,434.97,0,1,30,0,0,1,30
12,6,4,102,2,0.6,0,0.4,2,1,0,2,1,0,1,289.965,0,1,80,0,1,1,80
12,6,4,103,3,0.6,1,0.4,2,1,0,1,0,1,1,340.755,0,1,0,0,0,0,25
12,6,4,104,4,0.6,1,0.4,2,2,1,2,1,1,0,342.635,1,2,90,0,0,0,90
12,6,4,105,5,0.6,1,0.4,2,2,1,2,1,1,0,385.71,1,2,0,0,0,1,40
12,6,4,106,6,0.6,1,0.4,2,2,1,2,1,0,0,401.175,1,2,0,0,0,1,5
12,6,4,107,7,0.6,1,0.4,2,2,1,2,1,1,1,322.78,0,1,0,0,1,0,1
12,6,4,108,8,0.6,0,0.4,2,2,1,1,0,1,1,383.62,0,1,0,0,1,0,95
12,6,4,109,9,0.6,0,0.4,2,1,0,2,1,1,0,410.045,1,2,45,0,1,0,45
12,6,4,110,10,0.6,1,0.4,2,1,0,1,0,0,1,788.34,0,1,0,0,0,0,75
12,6,4,111,11,0.6,1,0.8,1,1,1,1,1,0,0,402.575,0,2,0,0,0,1,10
12,6,4,112,12,0.6,1,0.8,1,1,1,1,1,1,1,913.19,1,1,0,0,0,0,65
12,6,4,113,13,0.6,1,0.8,1,1,1,1,1,1,1,1620.185,1,1,0,0,0,0,55
12,6,4,114,14,0.6,1,0.8,1,1,1,1,1,0,1,413.385,1,1,99,0,1,1,99
12,6,4,115,15,0.6,1,0.8,1,1,1,1,1,0,1,543.44,1,1,85,0,1,1,85
12,6,4,116,16,0.6,0,0.8,1,1,1,2,0,1,0,1142.955,0,2,0,0,1,1,35
12,6,4,117,17,0.6,1,0.8,1,1,1,1,1,0,1,692.26,1,1,60,0,1,1,60
12,6,4,118,18,0.6,0,0.8,1,1,1,2,0,0,1,330.765,1,1,20,0,0,1,20
12,6,4,119,19,0.6,0,0.8,1,2,0,1,1,1,0,378.285,0,2,0,0,1,1,70
12,6,4,120,20,0.6,0,0.8,1,2,0,1,1,1,0,552.75,0,2,0,0,1,1,15
12,7,2,121,1,0.8,1,0.6,1,1,1,1,1,1,1,440.135,1,1,0,0,1,0,95
12,7,2,122,2,0.8,1,0.6,1,1,1,1,1,1,0,421.83,0,2,0,0,0,1,70
12,7,2,123,3,0.8,1,0.6,1,1,1,1,1,0,1,514.93,1,1,35,0,1,1,35
12,7,2,124,4,0.8,1,0.6,1,1,1,1,1,0,1,518.66,1,1,0,0,0,0,30
12,7,2,125,5,0.8,1,0.6,1,1,1,1,1,1,1,343.605,1,1,0,0,1,0,80
12,7,2,126,6,0.8,1,0.6,1,1,1,1,1,0,0,388.145,0,2,0,0,1,1,99
12,7,2,127,7,0.8,0,0.6,1,1,1,2,0,1,0,344.135,0,2,0,0,1,1,85
12,7,2,128,8,0.8,0,0.6,1,2,0,1,1,0,1,520.895,1,1,0,0,1,0,1
12,7,2,129,9,0.8,1,0.6,1,2,0,2,0,0,0,401.25,0,2,0,0,0,1,65
12,7,2,130,10,0.8,1,0.2,2,2,1,2,1,1,0,347.955,1,2,0,0,0,1,55
12,7,2,131,11,0.8,1,0.2,2,2,1,2,1,0,1,249.83,0,1,0,0,0,0,5
12,7,2,132,12,0.8,1,0.2,2,2,1,2,1,0,0,335.81,1,2,90,0,1,0,90
12,7,2,133,13,0.8,0,0.2,2,2,1,1,0,1,0,355.945,1,2,20,0,1,0,20
12,7,2,134,14,0.8,1,0.2,2,2,1,2,1,1,0,437.895,1,2,25,0,1,0,25
12,7,2,135,15,0.8,0,0.2,2,2,1,1,0,0,0,350.49,1,2,40,0,0,0,40
12,7,2,136,16,0.8,1,0.2,2,1,0,1,0,0,1,475.265,0,1,10,0,1,1,10
12,7,2,137,17,0.8,1,0.2,2,2,1,2,1,1,0,352.68,1,2,60,0,0,0,60
12,7,2,138,18,0.8,1,0.2,2,2,1,2,1,0,0,1256.97,1,2,75,0,0,0,75
12,7,2,139,19,0.8,1,0.2,2,2,1,2,1,0,0,713.645,1,2,15,0,1,0,15
12,7,2,140,20,0.8,1,0.2,2,2,1,2,1,1,0,381.905,1,2,45,0,1,0,45
12,8,1,141,1,0.8,0,0.4,2,2,1,1,0,0,1,346.895,0,1,0,0,1,0,46
12,8,1,142,2,0.8,1,0.4,2,1,0,1,0,0,1,447.125,0,1,0,0,0,0,53
12,8,1,143,3,0.8,1,0.4,2,2,1,2,1,1,0,382.49,1,2,47,0,0,0,47
12,8,1,144,4,0.8,1,0.4,2,2,1,2,1,0,0,458.61,1,2,0,0,1,1,50
12,8,1,145,5,0.8,1,0.4,2,2,1,2,1,0,0,307.71,1,2,0,0,0,1,54
12,8,1,146,6,0.8,1,0.4,2,2,1,2,1,0,0,343.265,1,2,46,0,0,0,46
12,8,1,147,7,0.8,1,0.4,2,2,1,2,1,0,0,383.805,1,2,55,0,0,0,55
