"","WLS1","WLS2","WLS3","WLS4","WLS5","WLS6","WLS7","WLS8","q","Questionnaire"
"BDI_Q1",0.666848988505193,0.063872371254826,0.0656089910333837,0.0773233651987325,-0.00499011664089816,0.0269894719026555,0.0399853077215082,-0.0279656518052732,1,"BDI"
"BDI_Q2",0.635007975334902,0.00503256412808066,0.0330157681627374,0.0913384510031945,0.0493808059455597,0.0681142089891501,0.0479406391451533,-0.0186207392722307,2,"BDI"
"BDI_Q3",0.62216199110731,0.0452071704604722,0.0880432403642489,-0.0162843955508519,-0.00038547436959339,0.103830702420301,0.0410166730064363,0.0381811442081798,3,"BDI"
"BDI_Q4",0.699704816574322,-0.03040111820146,0.0577986735120971,-0.00892070076798207,0.0254075825372554,0.0958917060449816,-0.117615344924192,0.049472939749144,4,"BDI"
"BDI_Q5",0.513652735108399,0.115751120486666,0.101137906739382,0.0206539156297536,-0.0766362122591652,-0.0560395998026546,0.0699017818544979,0.0307848314872522,5,"BDI"
"BDI_Q6",0.630697974101575,0.0839572462990341,0.103073750725288,-0.00533434943594734,-0.121973654156846,0.0173782446296463,-0.121895706941949,-0.0802800184815995,6,"BDI"
"BDI_Q7",0.770953599329577,0.0469671434636225,-0.0500834187852149,-0.0168580349933371,-0.0256145925809758,0.0305193362594419,0.0321536769882958,0.0418043526407034,7,"BDI"
"BDI_Q8",0.673606130197439,0.0109910580430825,0.0693954737512358,0.0271363450565015,-0.0943302482827286,-0.0304646486135604,0.0982360409941591,0.0600441887057247,8,"BDI"
"BDI_Q9",0.666823141838741,0.00683413806919235,0.0104016000173608,-0.0821676496644034,-0.0161874021065318,0.104391569173376,0.00240732987871789,-0.0337742538661551,9,"BDI"
"BDI_Q10",0.48360101570799,0.0894234455807337,0.103797898817432,-0.0232367739228304,-0.122013222105582,-0.0867354848829157,0.0660526334919204,0.0910751519925207,10,"BDI"
"BDI_Q11",0.465920147906744,0.0235176441997099,0.193015762765443,0.15708734819614,-0.0762623622905608,-0.0577026150405641,0.0228548795353521,-0.0239235751407687,11,"BDI"
"BDI_Q12",0.745826580646269,0.0163890876033861,-0.0390687122290775,0.0188871832209164,0.000448374724331416,0.102479566257748,-0.163356358285964,0.0311161524315389,12,"BDI"
"BDI_Q13",0.550027406038091,-0.00860078353348252,0.130163160431605,-0.00924958722382316,-0.0147493607146947,-0.107316179117052,0.0919049712594043,0.163004921943514,13,"BDI"
"BDI_Q14",0.759108786221335,0.0665631569547908,0.0667361541428971,-0.049275417560792,-0.00743482486284919,0.0522062007202275,0.0161234124851844,-0.0298562552644533,14,"BDI"
"BDI_Q15",0.640082413048736,-0.0154496175000937,0.00331345794783725,0.0716271184124928,-0.0255780838749332,-0.0525335682398447,-0.0751793996780033,0.152788484955276,15,"BDI"
"BDI_Q16",0.454225209307742,-0.0458743641293055,0.154042089968731,0.0760830482456776,-0.0719523737275177,0.0119458762252401,-0.0599206079758646,0.10503485689893,16,"BDI"
"BDI_Q17",0.557849509500456,-0.00768836781628704,0.162209197002426,0.0915515438325531,-0.0725888304599368,-0.0507271548735398,-0.0926452252945801,0.0512728729517016,17,"BDI"
"BDI_Q18",0.450610198299051,0.0743341368212763,0.152411461696008,-0.0137738711798445,-0.0747460133726657,-0.0728144563709401,0.0618708592402158,0.0491475927538927,18,"BDI"
